Country,State,City,Society,Home Page,Facebook,Email,LogoFileName,Member
US,Florida,Orlando,Orange Blossom Blues Society,http://obbs.org,https://facebook.com/Orange-Blossom-Blues-Society-77413748970,obbs4u@gmail.com,orangeblossom.jpg,Y
US,California,Orange,Orange County Blues Society,http://orangecountybluessociety.com,https://facebook.com/OrangeCountyBluesSociety,bluesgonesouth2@aol.com,orangecounty.jpg,Y
NO,,Oslo,Oslo Blues Club,http://osloblues.com,,,osloblues.jpg,Y
CA,Ontario,Ottawa,Ottawa Blues Society,http://ottawabluessociety.com,https://facebook.com/ottawabluessociety,ottawabluessociety@gmail.com,ottawablues.jpg,N
GR,,Athens,Outlaw Blues Society - Greece Chapter,,https://facebook.com/GreeceOutlawBluesSociety/,,outlawgreece.jpg,N
US,Kansas,Wichita,Outlaw Blues Society - Kansas Chapter,http://moodysskidrowbeanery.com,https://facebook.com/Outlaw-Blues-Society-513206478847652,,outlaw.jpg,N
US,Arkansas,Bentonville,Ozark Blues Society of NW Arkansas,http://ozarkbluessociety.org,https://facebook.com/Ozark-Blues-Society-103134739728104/,roger.plourde@gmail.com,ozark.jpg,Y
US,Hawaii,Lahaina,Pacific Blues Society,,https://facebook.com/ThePacificBluesSociety,,pacific.jpg,N
US,Wisconsin,Grafton,Paramount Music Association,http://paramountmusic.org,https://facebook.com/ParamountMusicAssociation,info@paramountmusic.org,paramount.jpg,Y
US,Texas,Paris,Paris Blues Society,,https://facebook.com/Paris-Blues-Society-119704054819,parisbluessociety@yahoo.com,paris.jpg,N
US,Pennsylvania,Philadelphia,Philadelphia Blues Society,http://thephilabluesociety.webs.com,https://facebook.com/The-Philadelphia-Blues-Society-204025902975213,toniwashingtin@yahoo.com,philadelphia.jpg,N
PH,,Quezon City,Phillipine Blues Society,,https://facebook.com/philippine.blues.society,eddiersantos@gmail.com,philippine.jpg,N
US,Arizona,Phoenix,Phoenix Blues Society,http://phoenixblues.org,https://facebook.com/Phoenix-Blues-Society-283092314157,info@phoenixblues.org,phoenix.jpg,Y
CA,Nova Scotia,Pictou,Pictou County Blues Society,http://pictoucountyblues.com,https://facebook.com/groups/126224327443861/,PictouCountyBlues@hotmail.ca,pictou.jpg,N
US,North Carolina,Greensboro,Piedmont Blues Preservation Society,http://piedmontblues.org,https://facebook.com/PBPS85,president@piedmontblues.org,piedmont.jpg,Y
US,Colorado,Colorado Springs,Pikes Peak Blues Community,http://pikespeakblues.org,https://facebook.com/Pikes-Peak-Blues-Community-PPBC-214316531931842,ppbc@pikespeakblues.org,pikespeak.jpg,Y
UK,England,Plymouth,Plymouth Blues Society,,https://facebook.com/plymouthbluessociety,,plymouth.jpg,N
PO,,Warsaw,Polish Blues Association,http://blues.org.pl,https://facebook.com/Polskie-Stowarzyszenie-Bluesowe-292222911882,psb@blues.org.pl,polskie.jpg,N
US,Ohio,Pomeroy,Pomeroy Blues & Jazz Society,,https://facebook.com/Bigbendbluesbash,jackie.welker@gmail.com,pomeroy.jpg,Y
US,Illinois,Champaign,Prairie Crossroads Blues Society,http://prairiecrossroadsblues.org,https://facebook.com/PrairieCrossroadsBlues,prairiecrossroadsblues@gmail.com,prairiecrossroads.jpg,N
US,Oregon,Eugene,Rainy Day Blues Society,http://RainyDayBlues.org,https://facebook.com/rainydayblues,webmaster@rainydayblues.org,rainyday.jpg,Y
US,Nevada,Reno,Reno Blues Society,http://renoblues.org,https://facebook.com/Reno-Blues-Society-142395089152193,treasurer@renoblues.org,reno.jpg,Y
IS,,Reykjavik,Reykjavik Blues Society,http://blues.is/?page_id=26,https://facebook.com/www.blues.is,,iceland.jpg,N
US,Rhode Island,Providence,Rhode Island Rhythm and Blues Preservation Society,http://bluespreservationsociety.org,https://facebook.com/RIRBPS,rirbps@gmail.com,rhodeisland.jpg,Y
US,Indiana,Evansville,River Basin Blues Society,,https://facebook.com/RiverBasinBlues,,riverbasin.jpg,N
US,Illinois,Peoria,River City Blues Society Illinois,,https://facebook.com/RiverCityBluesSociety,bringingtheblues@gmail.com,rivercityil.jpg,Y
US,Virginia,N. Chesterfield,River City Blues Society Virginia,http://rivercityblues.org,https://facebook.com/RCBS-River-City-Blues-Society-107586375947198,rivercityblues@outlook.com,rivercity.jpg,Y
US,New York,Sparkill,Rockland County Jazz & Blues Society,http://rcjbs.org,https://facebook.com/RCJBS,Nrcjbs.org,rocklandcounty.jpg,N
US,North Carolina,Salisbury,Rowan Blues and Jazz Society,,https://facebook.com/Rowan-Blues-and-Jazz-Society-and-Festival-193710587307479/,rbjs1720@carolina.rr.com,rowan.jpg,N
US,Kentucky,Russellville,Russellville Blues Society,http://russellvilleblues.com,https://facebook.com/Russellville-Blues-118220451537374,russellvilleblues@bellsouth.net,russellville.jpg,N
RU,,Moscow,Russian Blues Society,http://blues.ru/eng,,fedor@blues.ru,russia.jpg,N
US,California,Sacramento,Sacramento Blues Society,http://sacblues.com,https://facebook.com/sacblues,marilouon@comcast.net,sacramento.jpg,Y
US,Missouri,St. Louis,Saint Louis Blues Society,http://stlouisbluessociety.org,https://facebook.com/stlbluessociety,jminchey@stlouisbluessociety.org,stlouisblues.jpg,N
US,Texas,San Angelo,San Angelo Blues Society,http://sanangelobluessociety.com,https://facebook.com/San-Angelo-Blues-Society-105530416292946,sanangelobluessociety@gmail.com,sanangelo.jpg,Y
US,Texas,San Antonio,San Antonio Blues Society,http://sanantonioblues.com,https://facebook.com/sanantoniobluessociety,sabluessociety@yahoo.com,sanantonio.jpg,Y
US,California,San Luis Obispo,San Luis Obispo Blues Society,http://sloblues.org,https://facebook.com/SLOBluesSociety,info@sloblues.org,sanluis.jpg,Y
US,California,Santa Barbara,Santa Barbara Blues Society,http://sbblues.org,https://facebook.com/Santa-Barbara-Blues-Society-47171234339,info@sbblues.org,santabarbara.jpg,Y
US,California,Newhall,Santa Clarita Valley Blues Society,http://scvblues.org,https://facebook.com/Santa.Clarita.Valley.Blues.Society,info@scvblues.org,santaclarita.jpg,Y
CA,Saskatchewan,Saskatoon,Saskatoon Blues Society,http://saskatoonbluessociety.ca,https://facebook.com/SaskatoonBluesSociety,info@saskatoonbluessociety.ca,saskatoon.jpg,N
CA,Ontario,Sault Ste. Marie,Sault Blues Society,http://saultblues.com,https://facebook.com/groups/379013953277,,sault.jpg,N
US,Virginia,Big Island,Sedalia Blues Society,http://sedaliacenter.org/?q=JRBS,https://facebook.com/SedaliaBlues2016BluesChallenge,office@sedaliacenter.org,sedalia.jpg,Y
US,California,San Jose,Silicon Valley Blues Society,http://svblues.org,https://facebook.com/SiliconValleyBluesSociety,infomation@svblues.org,siliconvalley.jpg,N
US,South Dakota,Sioux Falls,Sioux Falls Jazz and Blues Society,http://sfjb.org,https://facebook.com/SFJazzBlues,info@sfjb.org,siouxfalls.jpg,N
SK,,Skalica,Slovakblues,http://slovakblues.com,https://facebook.com/slovakbluesassociation/,info@slovakblues.com,slovenska.jpg,N
US,Tennessee,Maryville,Smokey Mountain Blues Society,http://smokymountainblues.com,https://facebook.com/smokymountainbluessociety,pdoka@comcast.net,smokeymountain.jpg,Y
ES,,Madrid,Sociedad de Blues de Madrid,http://sociedaddebluesdemadrid.com,https://facebook.com/sociedaddebluesdemadrid/,,madrid.jpg,N
US,California,Santa Rosa,Sonoma County Blues Society,http://sonomacountybluessociety.org,https://facebook.com/Sonoma-County-Blues-Society-69607681495,,sonoma.jpg,Y
ZA,,Johannesburg,South African Blues Society,,https://facebook.com/sabluessociety,sabluessociety@gmail.com,southafricanblues.jpg,Y
US,Indiana,Nashville,South Central Indiana Blues Society,http://sciblues.org,https://facebook.com/SouthCentralIndianaBluesSociety,info@sciblues.org,southcentralindiana.jpg,Y
US,Mississippi,Greenville,South Delta Blues Society,,https://facebook.com/southdeltabluessociety,,southdeltablues.jpg,N
US,Florida,Coral Springs,South Florida Blues Society,http://soflablues.org,https://facebook.com/South-Florida-Blues-Society-109284189090462,bluesbobby2@aol.com,southflorida.jpg,Y
US,Iowa,Newton,South Skunk Blues Society,http://southskunkblues.org,https://facebook.com/south.skunk.1,ssbs@southskunkblues.org,southskunk.jpg,N
US,Washington,Tacoma,South Sound Blues Association,http://southsoundblues.com,https://facebook.com/South-Sound-Blues-Association-117418861646236,gwgrape47@comcast.net,southsound.jpg,Y
US,Iowa,Fairfield,Southeast Iowa Blues Society,http://southeastiowabluessociety.org,https://facebook.com/Southeast-Iowa-Blues-Society-156893677717370,sibs2010@yahoo.com,southeastiowa.jpg,N
US,Arizona,Tucson,Southern Arizona Blues Heritage Foundation,http://azblues.org,https://facebook.com/Southern-Arizona-Blues-Heritage-Foundation-518406111627080,info@azblues.org,southernarizona.jpg,Y
US,California,Los Alimitos,Southern California Blues Society,,https://facebook.com/SouthernCaliforniaBluesSociety,CadillacZackBand@aol.com,southerncalifornia.jpg,Y
US,Deleware,Georgetown,Southern Delaware Blues Society,,https://facebook.com/coastalblues,,southerndeleware.jpg,N
US,Florida,Matlacha,Southwest Florida Blues Society,http://swfbs.org,https://facebook.com/Southwest-Florida-Blues-Festival-112448572105511,contact-us@swfbs.org,southwestflorida.jpg,Y
US,Arkansas,Hot Springs,Spa City Blues Society,http://spacityblues.org,https://facebook.com/Spa-City-Blues-Society-149486060488,info@spacityblues.org,spacity.jpg,Y
US,Pennsylvania,Phoenixville,Steel City Blues Society,http://pvilleblues.org/scbs/,https://facebook.com/pvillebluesfest,info@pvilleblues.org,phoenixville.jpg,Y
US,Indiana,Kokomo,Stop Light City,,https://facebook.com/Stop-Light-City-Blues-Society-160035304043476,awesomeair@iquest.net,stoplightcity.jpg,N
US,Florida,Tampa,Suncoast Blues Society,http://suncoastblues.org,https://facebook.com/Suncoast-Blues-Society-208523331703,sbs@gailit.com,suncoast.jpg,Y
CA,British Columbia,Gibsons,Sunshine Coast Blues Society,,https://facebook.com/SunshineCoastBluesSociety/,,sunshinecoast.jpg,N
CH,,Basel,Swiss Blues Society,http://swissblues.ch,https://facebook.com/SwissBluesSociety,,swiss.jpg,Y
AU,NSW,Newtown,Sydney Blues Society,http://sydneyblues.org,https://facebook.com/sydneybluessociety,president@sydneyblues.org,sydney.jpg,Y
US,Tennessee,Nashville,Tennessee Blues Society,http://tennesseebluessociety.com,https://facebook.com/Tennessee-Blues-Society-Jam-At-Carol-Anns-213616975338059,ccsjenkins@aol.com,tennessee.jpg,N
US,Tennessee,Nashville,Tennessee Jazz & Blues Society,http://jazzblues.org,https://facebook.com/Tennessee-Jazz-Blues-Society-105131819582755,webmaster@jazzblues.org,tennesseejazzblues.jpg,N
US,Tennessee,Memphis,The Blues Foundation,http://blues.org,https://facebook.com/TheBluesFoundation/,,bluesfoundation.jpg,Y
CA,Ontario,Thunder Bay,Thunder Bay Blues Society,http://thunderbaybluessociety.ca,https://facebook.com/Thunder-Bay-Blues-Society-116239815081077,info@thunderbaybluessociety.ca,thunderbay.jpg,N
US,Kansas,Topeka,Topeka Blues Society,http://topekabluessociety.org,https://facebook.com/Topeka-Blues-Society-274996465907,membership@topekabluessociety.org,topeka.jpg,Y
CA,Ontario,Toronto,Toronto Blues Society,http://torontobluessociety.com,https://facebook.com/TorontoBluesSociety,derekandrews@sympatico.ca,toronto.jpg,Y
FR,,Toulouse,Toulouse Blues Society,http://toulousebluessociety.com,https://facebook.com/toulousebluessociety,,toulouse.jpg,N
US,Michigan,Traverse City,Traverse Bay Blues Society,,https://facebook.com/Traverse-Bay-Blues-Society-376250596099819/,mailto:mail@TraverseBayBlues.org,traversebay.jpg,N
US,North Carolina,Raleigh,Triangle Blues Society,http://triangleblues.com,https://facebook.com/TriangleBluesSociety,trianglebluessociety@gmail.com,triangle.jpg,Y
US,Texas,Dallas,Trinity River Blues Society,http://trinityriverblues.com,https://facebook.com/groups/dfwbs/,lindaburkhart@hotmail.com,trinityriver.jpg,N
UK,Wales,Blackwood,UK Blues Federation,http://ukblues.org,https://facebook.com/UK-Blues-683565461754200/,info@ukblues.org,uk.jpg,Y
US,Utah,Salt Lake City,Utah Blues Society,http://utahbluessociety.org,https://facebook.com/Utah-Blues-Society-1436530796563485,info@utahbluessociety.org,utah.jpg,N
ES,,Valencia,Valencia Blues Society,http://valenciabluessociety.wordpress.com,,xaviermariaperez@yahoo.es,valencia.jpg,Y
US,California,Simi Valley,Ventura County Blues Society,http://venturacountybluessociety.org,https://facebook.com/VCBluesSociety,info@venturacountybluessociety.org,venturacounty.jpg,Y
US,Mississippi,Vicksburg,Vicksburg Blues Society,http://vicksburgblues.net/,https://facebook.com/vicksburg.blues,shirleywaring@vicksburgheritage.com,vicksburg.jpg,Y
CA,British Columbia,Victoria,Victoria Blues Society,http://victoriabluessociety.ca,https://facebook.com/victoriabluessociety,victoriabluessociety@gmail.com,victoria.jpg,N
US,Washington,Walla Walla,Walla Walla Blues Society,http://wwbs.org,https://facebook.com/Walla-Walla-Blues-Society-188609127832595/,pattykeyes@charter.net,wallawalla.jpg,Y
US,Washington,Seattle,Washington Blues Society,http://wablues.org,https://facebook.com/WashingtonBluesSociety,president@wablues.org,washington.jpg,Y
US,Missouri,Washington,Washmo Blues Society,,https://facebook.com/washmoblues,washmoblues@gmail.com,washmo.jpg,N
US,California,Vallejo,West Coast Blues Society,http://westcoastbluessociety.com,https://facebook.com/wcbluessociety,info@westcoastbluessociety.com,westcoast.jpg,N
US,Michigan,Grand Rapids,West Michigan Blues Society,http://wmbs.org,https://facebook.com/West-Michigan-Blues-Society-198161296652,wmbs@mei-inc.com,westmichigan.jpg,Y
US,Tennessee,Somerville,West Tennessee Blues Society,,https://facebook.com/WTBluesSociety,soutlawclark@bellsouth.net,westtennessee.jpg,Y
US,New York,Buffalo,Western New York Blues Society,http://wnyblues.org,https://facebook.com/bluessociety.wny,support@wnyblues.org,westernnewyorkblues.jpg,Y
CA,British Columbia,Surrey,White Rock Blues Society,http://whiterockblues.com,https://facebook.com/White-Rock-Blues-Society-Official-207261256093348,rodneyd@shaw.ca,whiterock.jpg,Y
US,Kansas,Wichita,Wichita Blues Society,http://wichitablues.org,https://facebook.com/Wichita-Blues-Society-137772358587,webmaster@wichitablues.org,wichita.jpg,Y
US,Illinois,Chicago,Windy City Blues Society,http://windycityblues.org,https://facebook.com/WindyCityBluesSociety,windycitybluessociety@gmail.com,windycity.jpg,Y
US,Alabama,Dorthan,Wiregrass Blues Society,http://wiregrassbluessociety.com,https://facebook.com/BluesWiregrass,,wiregrass.jpg,N
US,Wyoming,Evansville,Wyoming Blues & Jazz Society,http://wyobluesandjazz.org,https://facebook.com/Wyoming-Blues-and-Jazz-Society-337163603835,wybluelou@hotmail.com,wyoming.jpg,Y
