Title,HomePage,Facebook,Email,Locality,AdminDistrict,CountryRegion,Latitude,Longitude,LogoFileName,BFMember
Natchel Blues Network,natchelblues.org,facebook.com/NatchelBluesNetwork,president@natchelblues.org,Norfolk,Virginia,US,36.85,-76.29,natchel.jpg,Y
New Orleans Blues Society,neworleansbluessociety.com,facebook.com/neworleansbluessociety,info@neworleansbluessociety.com,Marrero,Louisiana,US,29.9,-90.11,neworleans.jpg,Y
Norfolk Blues Society,norfolkbluessociety.org.uk,facebook.com/norfolkbluessociety.eastanglia,,Norfolk,England,UK,52.67,0.38,norfolk.jpg,N
Norsk Blues Union,norskbluesunion.no,facebook.com/Norsk-Bluesunion-NBU-Norwegian-Blues-Union-274781645875476,post@norskbluesunion.no,Oslo,,Norway,59.91,10.75,norsk.jpg,Y
North Central Florida Blues Society,ncfblues.org,facebook.com/North-Central-Florida-Blues-Society-23953302288,myname_isrob@yahoo.com,Gainesville,Florida,US,29.65,-82.32,northcentralflorida.jpg,Y
Northern Arizona Blues Alliance,nazba.com,facebook.com/Northernarizonabluesalliance,NAZBA@northernarizonabluesalliance.org,Sedona,Arizona,US,34.86,-111.81,northernarizona.jpg,Y
Northern Blues N Roots WA,northernbluesnrootswa.net,facebook.com/NorthernBluesNRootsWa/,cromb@tpg.com.au,Duncraig,WA,Australia,-31.83,115.76,northernbluesnroots.jpg,N
NYC Blues Society,nyblues.org,facebook.com/NYC-Blues-Society-162955323739522,,New York,New York,US,40.7,-74.25,nyc.jpg,N
Oklahoma Blues Society,okblues.org,facebook.com/okblues,obs@okblues.org,Oklahoma City,Oklahoma,US,35.47,-97.52,oklahoma.jpg,Y
Orange Blossom Blues Society,obbs.org,facebook.com/Orange-Blossom-Blues-Society-77413748970,obbs4u@gmail.com,Orlando,Florida,US,28.54,-81.38,orangeblossom.jpg,Y
Orange County Blues Society,orangecountybluessociety.com,facebook.com/OrangeCountyBluesSociety,bluesgonesouth2@aol.com,Orange,California,US,33.65,-117.79,orangecounty.jpg,Y
Ottawa Blues Society,ottawabluessociety.com,facebook.com/ottawabluessociety,ottawabluessociety@gmail.com,Ottawa,Ontario,CA,45.39,-75.69,ottawablues.jpg,N
Outlaw Blues Society - Kansas Chapter,moodysskidrowbeanery.com,facebook.com/Outlaw-Blues-Society-513206478847652,,Wichita,Kansas,US,37.59,-97.58,outlaw.jpg,N
Ozark Blues Society of NW Arkansas,ozarkbluessociety.org,facebook.com/Ozark-Blues-Society-103134739728104/,roger.plourde@gmail.com,Bentonville,Arkansas,US,36.37,-94.21,ozark.jpg,Y
Paramount Music Association,paramountmusic.org,facebook.com/ParamountMusicAssociation,info@paramountmusic.org,Grafton,Wisconsin,US,43.33,-87.93,paramount.jpg,Y
Paris Blues Society,,facebook.com/Paris-Blues-Society-119704054819,parisbluessociety@yahoo.com,Paris,Texas,US,33.67,-95.6,paris.jpg,N
Piedmont Blues Preservation Society,piedmontblues.org,facebook.com/PBPS85,president@piedmontblues.org,Greensboro,North Carolina,US,36.07,-79.79,piedmont.jpg,Y
Canadian Pacific Blues Society,canadianpacificblues.com,facebook.com/pg/canadianpacificpblues,,Vancouver,British Columbia,CA,49.25,-123.19,canadianpacific.jpg,N
Phillipine Blues Society,,facebook.com/philippine.blues.society,eddiersantos@gmail.com,Quezon City,,Philippines,14.65,121.05,philippine.jpg,N
Phoenix Blues Society,phoenixblues.org,facebook.com/Phoenix-Blues-Society-283092314157,info@phoenixblues.org,Phoenix,Arizona,US,33.45,-112.08,phoenix.jpg,Y
Pikes Peak Blues Community,pikespeakblues.org,facebook.com/Pikes-Peak-Blues-Community-PPBC-214316531931842,ppbc@pikespeakblues.org,Colorado Springs,Colorado,US,38.83,-104.82,pikespeak.jpg,Y
Plymouth Blues Society,,facebook.com/plymouthbluessociety,,Plymouth,England,UK,50.38,-4.18,plymouth.jpg,N
Polish Blues Association,blues.org.pl,facebook.com/Polskie-Stowarzyszenie-Bluesowe-292222911882,psb@blues.org.pl,Warsaw,,Poland,52.23,21.01,polskie.jpg,N
Prairie Crossroads Blues Society,prairiecrossroadsblues.org,facebook.com/PrairieCrossroadsBlues,prairiecrossroadsblues@gmail.com,Champaign,Illinois,US,40.11,-88.24,prairiecrossroads.jpg,N
Steel City Blues Society,pvilleblues.org/scbs/,facebook.com/pvillebluesfest,info@pvilleblues.org,Phoenixville,Pennsylvania,US,40.13,-75.55,phoenixville.jpg,Y
Rainy Day Blues Society,RainyDayBlues.org,facebook.com/rainydayblues,webmaster@rainydayblues.org,Eugene,Oregon,US,44.05,-123.09,rainyday.jpg,Y
River City Blues Society Virginia,rivercityblues.org,facebook.com/RCBS-River-City-Blues-Society-107586375947198,rivercityblues@outlook.com,N. Chesterfield,Virginia,US,37.38,-77.59,rivercity.jpg,Y
Rockland County Jazz & Blues Society,rcjbs.org,facebook.com/RCJBS,Nrcjbs.org,Sparkill,New York,US,41.15,-74.2,rocklandcounty.jpg,N
Reno Blues Society,renoblues.org,facebook.com/Reno-Blues-Society-142395089152193,treasurer@renoblues.org,Reno,Nevada,US,39.53,-119.81,reno.jpg,Y
Rhode Island Rhythm and Blues Preservation Society,bluespreservationsociety.org,facebook.com/RIRBPS,rirbps@gmail.com,Providence,Rhode Island,US,41.82,-71.41,rhodeisland.jpg,Y
River Basin Blues Society,,facebook.com/RiverBasinBlues,,Evansville,Indiana,US,37.98,-87.56,riverbasin.jpg,N
River City Blues Society Illinois,,facebook.com/RiverCityBluesSociety,bringingtheblues@gmail.com,Peoria,Illinois,US,40.74,-89.76,rivercityil.jpg,Y
Rowan Blues and Jazz Society,,facebook.com/Rowan-Blues-and-Jazz-Society-and-Festival-193710587307479/,rbjs1720@carolina.rr.com,Salisbury,North Carolina,US,35.66,-80.56,rowan.jpg,N
Russellville Blues Society,russellvilleblues.com,facebook.com/Russellville-Blues-118220451537374,russellvilleblues@bellsouth.net,Russellville,Kentucky,US,36.84,-86.89,russellville.jpg,N
South African Blues Society,,facebook.com/sabluessociety,sabluessociety@gmail.com,Johannesburg,,South Africa,-25.77,28.2,southafricanblues.jpg,Y
Sacramento Blues Society,sacblues.com,facebook.com/sacblues,marilouon@comcast.net,Sacramento,California,US,41.24,-122.27,sacramento.jpg,Y
San Angelo Blues Society,sanangelobluessociety.com,facebook.com/San-Angelo-Blues-Society-105530416292946,sanangelobluessociety@gmail.com,San Angelo,Texas,US,31.46,-100.44,sanangelo.jpg,Y
San Antonio Blues Society,sanantonioblues.com,facebook.com/sanantoniobluessociety,sabluessociety@yahoo.com,San Antonio,Texas,US,29.42,-98.49,sanantonio.jpg,Y
Santa Clarita Valley Blues Society,scvblues.org,facebook.com/Santa.Clarita.Valley.Blues.Society,info@scvblues.org,Newhall,California,US,34.37,-118.54,santaclarita.jpg,Y
Santa Barbara Blues Society,sbblues.org,facebook.com/Santa-Barbara-Blues-Society-47171234339,info@sbblues.org,Santa Barbara,California,US,34.42,-119.7,santabarbara.jpg,Y
Saskatoon Blues Society,saskatoonbluessociety.ca,facebook.com/SaskatoonBluesSociety,info@saskatoonbluessociety.ca,Saskatoon,Saskatchewan,CA,52.11,-106.64,saskatoon.jpg,N
Sedalia Blues Society,sedaliacenter.org/?q=JRBS,facebook.com/SedaliaBlues2016BluesChallenge,office@sedaliacenter.org,Big Island,Virginia,US,37.53,-79.37,sedalia.jpg,Y
Sioux Falls Jazz and Blues Society,sfjb.org,facebook.com/SFJazzBlues,info@sfjb.org,Sioux Falls,South Dakota,US,43.54,-96.81,siouxfalls.jpg,N
Silicon Valley Blues Society,svblues.org,facebook.com/SiliconValleyBluesSociety,infomation@svblues.org,San Jose,California,US,37.4,-122.18,siliconvalley.jpg,N
San Luis Obispo Blues Society,sloblues.org,facebook.com/SLOBluesSociety,info@sloblues.org,San Luis Obispo,California,US,35.29,-120.66,sanluis.jpg,Y
Slovakblues,slovakblues.com,facebook.com/slovakbluesassociation/,info@slovakblues.com,Skalica,,Slovakia,48.84,17.23,slovenska.jpg,N
Smokey Mountain Blues Society,smokymountainblues.com,facebook.com/smokymountainbluessociety,pdoka@comcast.net,Maryville,Tennessee,US,35.75,-83.97,smokeymountain.jpg,Y
Sociedad de Blues de Madrid,sociedaddebluesdemadrid.com,facebook.com/sociedaddebluesdemadrid/,,Madrid,,Spain,40.43,-3.82,madrid.jpg,N
Brazilian Blues Society,,facebook.com/SociedadeBlues,,Brasilia,,Brazil,-15.72,-48.07,brazil.jpg,N
Society Blues Barcelona,societatbluesbarcelona.org,facebook.com/societat.barcelona,info@societatbluesbarcelona.org,Barcelona,,Spain,41.39,2,barcelona.jpg,Y
Sonoma County Blues Society,sonomacountybluessociety.org,facebook.com/Sonoma-County-Blues-Society-69607681495,,Santa Rosa,California,US,38.43,-122.77,sonoma.jpg,Y
South Skunk Blues Society,southskunkblues.org,facebook.com/south.skunk.1,ssbs@southskunkblues.org,Newton,Iowa,US,41.7,-93.04,southskunk.jpg,N
South Central Indiana Blues Society,sciblues.org,facebook.com/SouthCentralIndianaBluesSociety,info@sciblues.org,Nashville,Indiana,US,39.2,-86.23,southcentralindiana.jpg,Y
South Delta Blues Society,,facebook.com/southdeltabluessociety,,Greenville,Mississippi,US,33.39,-91.13,southdeltablues.jpg,N
Southeast Iowa Blues Society,southeastiowabluessociety.org,facebook.com/Southeast-Iowa-Blues-Society-156893677717370,sibs2010@yahoo.com,Fairfield,Iowa,US,41.01,-91.96,southeastiowa.jpg,N
Southern Arizona Blues Heritage Foundation,azblues.org,facebook.com/Southern-Arizona-Blues-Heritage-Foundation-518406111627080,info@azblues.org,Tucson,Arizona,US,32.22,-110.97,southernarizona.jpg,Y
Southern California Blues Society,,facebook.com/SouthernCaliforniaBluesSociety,CadillacZackBand@aol.com,Los Alimitos,California,US,33.8,-118.08,southerncalifornia.jpg,Y
South Florida Blues Society,soflablues.org,facebook.com/South-Florida-Blues-Society-109284189090462,bluesbobby2@aol.com,Coral Springs,Florida,US,26.27,-80.25,southflorida.jpg,Y
South Sound Blues Association,southsoundblues.com,facebook.com/South-Sound-Blues-Association-117418861646236,gwgrape47@comcast.net,Tacoma,Washington,US,47.26,-122.44,southsound.jpg,Y
Southwest Florida Blues Society,swfbs.org,facebook.com/Southwest-Florida-Blues-Festival-112448572105511,contact-us@swfbs.org,Matlacha,Florida,US,26.63,-82.07,southwestflorida.jpg,Y
Spa City Blues Society,spacityblues.org,facebook.com/Spa-City-Blues-Society-149486060488,info@spacityblues.org,Hot Springs,Arkansas,US,34.51,-93.05,spacity.jpg,Y
Saint Louis Blues Society,stlouisbluessociety.org,facebook.com/stlbluessociety,jminchey@stlouisbluessociety.org,St. Louis,Missouri,US,38.63,-90.2,stlouisblues.jpg,N
Stop Light City,,facebook.com/Stop-Light-City-Blues-Society-160035304043476,awesomeair@iquest.net,Kokomo,Indiana,US,40.47,-86.2,stoplightcity.jpg,N
Suncoast Blues Society,suncoastblues.org,facebook.com/Suncoast-Blues-Society-208523331703,sbs@gailit.com,Tampa,Florida,US,27.95,-82.46,suncoast.jpg,Y
Sunshine Coast Blues Society,,facebook.com/SunshineCoastBluesSociety/,,Gibsons,British Columbia,CA,49.4,-123.53,sunshinecoast.jpg,N
Swiss Blues Society,swissblues.ch,facebook.com/SwissBluesSociety,,Basel,,Switzerland,47.55,7.45,swiss.jpg,Y
Sydney Blues Society,sydneyblues.org,facebook.com/sydneybluessociety,president@sydneyblues.org,Newtown,NSW,Australia,-33.9,151.18,sydney.jpg,Y
Tennessee Blues Society,tennesseebluessociety.com,facebook.com/Tennessee-Blues-Society-Jam-At-Carol-Anns-213616975338059,ccsjenkins@aol.com,Nashville,Tennessee,US,36.2,-87,tennessee.jpg,N
Tennessee Jazz & Blues Society,jazzblues.org,facebook.com/Tennessee-Jazz-Blues-Society-105131819582755,webmaster@jazzblues.org,Nashville,Tennessee,US,36.13,-86.8,tennesseejazzblues.jpg,N
Golden Gate Blues Society,tggbs.org,facebook.com/TGGBS,info@tggbs.org,San Francisco,California,US,37.78,-122.42,godengate.jpg,Y
The Blues Foundation,blues.org,facebook.com/TheBluesFoundation/,,Memphis,Tennessee,US,35,-90,bluesfoundation.jpg,Y
Blues Jazz and Folk Music Society,bjfm.org,facebook.com/The-Blues-Jazz-and-Folk-Music-Society-of-the-Mid-Ohio-Valley-254568794439,blueshelen@live.com,Marietta,Ohio,US,39.42,-81.46,midohiovalley.jpg,Y
DC Blues Society,dcblues.org,facebook.com/The-DC-Blues-Society-102565061281,,Washington,Distric of Columbia,US,38.89,-77.03,dcblues.jpg,Y
Mile High Blues Society,milehighbluessociety.com,facebook.com/TheMileHighBluesSociety,info@milehighbluessociety.com,Aurora,Colorado,US,39.71,-104.81,milehighblues.jpg,Y
Mississippi Valley Blues Society,mvbs.org,facebook.com/TheMississippiValleyBluesSociety,kristy@muddys.info,Davenport,Iowa,US,41.54,-90.58,mississipivalley.jpg,Y
Pacific Blues Society,,facebook.com/ThePacificBluesSociety,,Lahaina,Hawaii,US,20.85,-156.6,pacific.jpg,N
Philadelphia Blues Society,thephilabluesociety.webs.com,facebook.com/The-Philadelphia-Blues-Society-204025902975213,toniwashingtin@yahoo.com,Philadelphia,Pennsylvania,US,40,-75.25,philadelphia.jpg,N
Thunder Bay Blues Society,thunderbaybluessociety.ca,facebook.com/Thunder-Bay-Blues-Society-116239815081077,info@thunderbaybluessociety.ca,Thunder Bay,Ontario,CA,48.38,-89.25,thunderbay.jpg,N
Chippewa Valley Blues Society,chippewavalleyblues.com,facebook.com/tnblues,memorgan@triwest.net,Eau Claire,Wisconsin,US,44.82,-91.5,chippewavalley.jpg,N
Topeka Blues Society,topekabluessociety.org,facebook.com/Topeka-Blues-Society-274996465907,membership@topekabluessociety.org,Topeka,Kansas,US,39.05,-95.67,topeka.jpg,Y
Toronto Blues Society,torontobluessociety.com,facebook.com/TorontoBluesSociety,derekandrews@sympatico.ca,Toronto,Ontario,CA,43.66,-79.43,toronto.jpg,Y
Toulouse Blues Society,toulousebluessociety.com,facebook.com/toulousebluessociety,,Toulouse,,France,43.6,1.36,toulouse.jpg,N
Traverse Bay Blues Society,,facebook.com/Traverse-Bay-Blues-Society-376250596099819/,mailto:mail@TraverseBayBlues.org,Traverse City,Michigan,US,44.74,-85.64,traversebay.jpg,N
Triangle Blues Society,triangleblues.com,facebook.com/TriangleBluesSociety,trianglebluessociety@gmail.com,Raleigh,North Carolina,US,35.79,-78.64,triangle.jpg,Y
UK Blues Federation,ukblues.org,facebook.com/UK-Blues-683565461754200/,info@ukblues.org,Blackwood,Wales,UK,51.67,-3.23,uk.jpg,Y
Utah Blues Society,utahbluessociety.org,facebook.com/Utah-Blues-Society-1436530796563485,info@utahbluessociety.org,Salt Lake City,Utah,US,40.76,-111.89,utah.jpg,N
Ventura County Blues Society,venturacountybluessociety.org,facebook.com/VCBluesSociety,info@venturacountybluessociety.org,Simi Valley,California,US,34.29,-118.72,venturacounty.jpg,Y
Vicksburg Blues Society,vicksburgblues.net/,facebook.com/vicksburg.blues,shirleywaring@vicksburgheritage.com,Vicksburg,Mississippi,US,32.35,-90.88,vicksburg.jpg,Y
Victoria Blues Society,victoriabluessociety.ca,facebook.com/victoriabluessociety,victoriabluessociety@gmail.com,Victoria,British Columbia,CA,48.44,-123.4,victoria.jpg,N
Walla Walla Blues Society,wwbs.org,facebook.com/Walla-Walla-Blues-Society-188609127832595/,pattykeyes@charter.net,Walla Walla,Washington,US,46.07,-118.34,wallawalla.jpg,Y
Washington Blues Society,wablues.org,facebook.com/WashingtonBluesSociety,president@wablues.org,Seattle,Washington,US,47.6,-122.33,washington.jpg,Y
Washmo Blues Society,,facebook.com/washmoblues,washmoblues@gmail.com,Washington,Missouri,US,38.55,-91.05,washmo.jpg,N
West Coast Blues Society,westcoastbluessociety.com,facebook.com/wcbluessociety,info@westcoastbluessociety.com,Vallejo,California,US,38.11,-122.33,westcoast.jpg,N
West Michigan Blues Society,wmbs.org,facebook.com/West-Michigan-Blues-Society-198161296652,wmbs@mei-inc.com,Grand Rapids,Michigan,US,42.97,-85.67,westmichigan.jpg,Y
White Rock Blues Society,whiterockblues.com,facebook.com/White-Rock-Blues-Society-Official-207261256093348,rodneyd@shaw.ca,Surrey,British Columbia,CA,49.15,-122.85,whiterock.jpg,Y
Wichita Blues Society,wichitablues.org,facebook.com/Wichita-Blues-Society-137772358587,webmaster@wichitablues.org,Wichita,Kansas,US,37.69,-97.34,wichita.jpg,Y
Windy City Blues Society,windycityblues.org,facebook.com/WindyCityBluesSociety,windycitybluessociety@gmail.com,Chicago,Illinois,US,41.88,-87.63,windycity.jpg,Y
West Tennessee Blues Society,,facebook.com/WTBluesSociety,soutlawclark@bellsouth.net,Somerville,Tennessee,US,35.24,-89.35,westtennessee.jpg,Y
Reykjavik Blues Society,blues.is/?page_id=26,facebook.com/www.blues.is,,Reykjavik,,Iceland,64.13,-21.92,iceland.jpg,N
Wyoming Blues & Jazz Society,wyobluesandjazz.org,facebook.com/Wyoming-Blues-and-Jazz-Society-337163603835,wybluelou@hotmail.com,Evansville,Wyoming,US,42.86,-106.28,wyoming.jpg,Y
Blues Society of Nepal,,www.facebook.com/BluesSocietyNepal/,bluessocietynepal@gmail.com,Kathmandu,,Nepal,27.62,85.54,nepali.jpg,N
Russian Blues Society,blues.ru/eng,,fedor@blues.ru,Moscow,,Rsia,55.74,37.35,russia.jpg,N
Brussels Blues Society,brusselsblues.eu,,winne.penninckx@skynet.be,Brussels,,Belgium,50.84,4.38,brussels.jpg,N
Okanagan Jazz & Blues Society,okanaganjazzblues.org,,,Kelowna,British Columbia,CA,49.89,-119.59,okanagan.jpg,N
Oslo Blues Club,osloblues.com,,,Oslo,,Norway,59.89,10.5,osloblues.jpg,Y
Valencia Blues Society,valenciabluessociety.wordpress.com,,xaviermariaperez@yahoo.es,Valencia,,Spain,39.46,-0.33,valencia.jpg,Y
